Temperature;log10(time)
240;3,1923066698050007
240;2,411717142636681
250;3,0437778292188074
250;2,252346780839815
260,00000000000006;2,957045659533438
260,00000000000006;2,136342503885634
270;2,858387816516331
270;2,047442029958131
280;2,7586458213781575
280;1,9249328402775472
290;2,6621562826031844
290;1,8056761069601652
300;2,556993526859674
300;1,6799144609163803
310,00000000000006;2,4745979656585737
310,00000000000006;1,5769200094150047
320;2,3846133396100027
320;1,454410819734421
330;2,3119751474985066
330;1,3557529767173135
340;2,215485608723534
340;1,2397486997631328
350;2,1265851347960307
350;1,126996879172153
360;2,0431054214738626
360;1,0142450585811735
370;1,9943185760258424
370;0,98172049494916
380;1,941195122093554
380;0,9643740610120863
390;1,9010814936140714
390;0,9047456943533954
400;1,888071668161266
400;0,8852309561741873
410;1,8848192117980647
410;0,8884834125373886
420;1,8978290372508697
420;0,8884834125373886
430;1,9444475784567552
430;0,8949883252637911
440;2,4247269680894865
440;0,8949883252637911

